ID,Ambito,Descrizione attività,Riferimenti attività,Stato,Priorità,Owner ARPA,Owner BIP,Data apertura,Data chiusura,Scadenza,Note aggiuntive / Storico
9,Incentivi,Incentivi studio regolamento,,Da iniziare,Media,Barone,,,,,"Pred. Documento incentivi e studio della normativa, Chiedere a Marco su quali progetti ( ha trasmesso l'intero pacchetto)"
11,Rendicontazione,Predisposizione dichiarazione cedoloni comulative,,Da iniziare,Alta,Beringheli,Barba,,,,Chiedere a Gino B. dichiarazione per i mandati di pagamento cumulativi degli f24 _ Rendicontazione personale
12,Supplementari,Comunicazione Variazione contrattuale per BIP PO,,Da iniziare,Alta,Costa,,,,,Non è necessaria nota da DG al RUP per approvazione ( il DG approva firmando questa)
13,Supplementari,PO per supplementari,,Da iniziare,Alta,Costa,Scuderi,,,,è importante che le attività siano coerenti e che non coicidano con il precedente PO
18,POC 14-20,Fibercop : Compilare scheda ANAC per estrarre CIG,,Da iniziare,Media,Gullo,,,,,"Gianluca ha scaricato  Offerta economia con RDO n. 6547854, è necessario compilare Scheda Anac per estrarre il CIG"
19,POC 14-20,Attivare Trattativa diretta MEPA per Supporto Legale,,Da iniziare,Media,,,,,,
20,POC 14-20,Attivare Trattativa diretta MEPA per Collaudatore II stralcio,,Da iniziare,Media,,,,,,
21,Supplementari,Nota comunicazione supplementari progetto DARE dal RUP,,Da iniziare,Media,Lo Verso,,,,,
2,Convenzione ARTA,E'  necessario ridegere il POA per avviare Convenzione,,In corso,Bassa,Costa,Scuderi,08/09/2026,,25/09/2026,Rosanna sta inziazione redazione
4,Disseminazione,Approvazione Logo e Identity,Spinfactor,In corso,Alta,Costa,Di Salvo,01/09/2026,,16/09/2026,Attendiamo conferma da Rosanna
6,Startup,Avviare quick win,Mazzara D,In corso,Media,Lo Verso,Coppola - Scuderi,01/09/2026,,16/09/2026,
7,Disseminazione,Preventivi monografia ed. Locali,,In corso,Media,Regina,Coppola - Scuderi,09/09/2026,,16/09/2026,E' necessario chiamare editori locali per preventivi
10,Anticipazione Ricerca,Stato di avanzamento Genduso Relazione,,In corso,Bassa,Costa,Barba,14/09/2026,,na,La genduso deve mandare una relazione a Rosanna
14,POC 14-20,Note nomina commissioni,,In corso,Alta,Costa,Amandorla,,,16/09/2026,Sono tornati indietro; No disposizione ma proposta di presa d'atto della nota ; Già esiste nota (Chiedere a Rosanna / Già chiesta)
22,POC 14-20,Decreto affidamento Fibercop,,In corso,Bassa,Gullo,Amandorla,15/09/2026,,na,Bozza pronta per email / Inviata da Gianluca  /abbiamo portato avanti perché sicuramente sarà necessario
1,Supplementari,Nota supplementari DARE,,Terminata,Media,Costa,Barba,08/09/2026,,17/09/2026,Abbiamo inoltrato Nota  / Non è necessario predisporre nota da DG a Direr
3,POC 14-20,E' necessario revocare RUP primo lotto,,Terminata,Media,Costa,Niutta,08/09/2026,08/09/2026,,inviata al direttore si aspetta risposta
5,Rendicontazione,Richiesta Cedoloni,,Terminata,Media,Scordi,Coppola,11/09/2026,,16/09/2026,Inviata mail a  ascordi@arpa.sicilia.it per richiesta cedoloni 3 mestrali Giug-Sett / ATTENDIAMO RISPOSTA
8,Supplementari,Nota rimodulazione 2 stralcio  X AMBIENTE,,Terminata,Alta,Costa,Cavalli,08/09/2026,,,Noi abbiamo consegnato documenti attendiamo trasmissione
15,Supplementari,Documenti per attivazione supplementari BIP,,Terminata,Alta,Costa,Barba,08/09/2026,08/09/2026,08/09/2026,Il documento è stato trasmesso al DG si attende approvazione
16,Piattaforma,Creare slide incontro tavoli tecnici,,Terminata,Bassa,Lo Verso,CSA,10/09/2026,,15/09/2026,"Attendiamo informazioni da CSA per procedere alla creazione delle slide /abbiamo chiesto a csa se le faranno loro, attendiamo risposta"
17,Convenzione ARTA,Decreto presa d'atto habitat,,Terminata,Alta,Costa,Barba,,,10/09/2026,
